               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,             0.02237,            0.018374,          4.0573e-05,             0.66364,             0.63592,             0.60974,             0.29825,            0.045081,            0.023196,          0.00013584,           0.0014905,           0.0014905,           0.0014905
                  87,            0.021951,            0.018105,          4.3423e-05,             0.67288,              0.6261,               0.612,             0.30698,            0.044447,            0.022675,          0.00012306,           0.0014283,           0.0014283,           0.0014283
                  88,            0.022131,             0.01745,          5.6146e-05,             0.73323,             0.59176,             0.61198,             0.30408,            0.043931,            0.022774,           0.0001104,           0.0013701,           0.0013701,           0.0013701
                  89,            0.021306,            0.017259,          3.7529e-05,              0.6842,             0.63395,             0.61546,             0.30955,             0.04415,            0.022913,          0.00011541,            0.001316,            0.001316,            0.001316
                  90,             0.02192,            0.016352,          3.6837e-05,              0.7047,             0.60353,             0.62129,             0.31021,             0.04425,            0.022994,          0.00010856,            0.001266,            0.001266,            0.001266
                  91,            0.021736,            0.016304,          3.6439e-05,             0.71977,             0.59764,             0.60517,             0.29688,            0.044711,            0.023314,          0.00012637,           0.0012202,           0.0012202,           0.0012202
                  92,            0.021884,            0.017991,          4.4871e-05,             0.75226,             0.56619,              0.5991,             0.29891,            0.044732,            0.023187,          0.00012199,           0.0011787,           0.0011787,           0.0011787
                  93,            0.021154,            0.019049,          3.7239e-05,              0.7149,             0.58881,             0.60681,             0.30746,            0.044748,            0.023404,          0.00012969,           0.0011414,           0.0011414,           0.0011414
                  94,             0.02121,            0.016191,          3.7261e-05,             0.67383,             0.62316,             0.59413,             0.29704,            0.044783,             0.02345,          0.00012301,           0.0011084,           0.0011084,           0.0011084
                  95,             0.02083,            0.017104,          3.5722e-05,             0.70543,             0.61825,             0.60254,             0.30229,            0.044452,            0.023394,          0.00012761,           0.0010797,           0.0010797,           0.0010797
                  96,             0.02089,            0.016668,           4.115e-05,              0.6967,             0.60648,             0.60452,             0.30632,            0.044404,            0.023766,          0.00013067,           0.0010554,           0.0010554,           0.0010554
                  97,            0.020896,            0.016909,          3.4566e-05,             0.70705,             0.59961,             0.60082,             0.30709,            0.044797,            0.023704,          0.00014233,           0.0010355,           0.0010355,           0.0010355
                  98,            0.020271,            0.016371,          3.3117e-05,             0.70017,             0.60059,             0.60028,             0.30295,            0.044942,            0.023931,          0.00013655,             0.00102,             0.00102,             0.00102
                  99,            0.020545,            0.016405,          3.2369e-05,             0.71171,             0.59176,             0.60549,             0.30354,            0.045001,            0.023641,          0.00014449,           0.0010089,           0.0010089,           0.0010089
